g,eta,mean_rate_ex,cv_ex,plv_ex,classification
0.0,0.0,0.0,-1.0,1.0,Q
0.0,0.21052631578947367,0.0,-1.0,1.0,Q
0.0,0.42105263157894735,0.0,-1.0,1.0,Q
0.0,0.631578947368421,0.0,-1.0,1.0,Q
0.0,0.8421052631578947,425.073625,0.07061858526505778,0.8536903074665794,SR
0.0,1.0526315789473684,333.24775,1.2993860484045433e-15,0.951256385979419,SR
0.0,1.263157894736842,333.0,3.130501411961963e-15,0.9985479963361269,SR
0.0,1.4736842105263157,333.6985,0.0,0.8775290857693974,SR
0.0,1.6842105263157894,333.30875,1.2992669017293619e-15,0.924668960150011,SR
0.0,1.894736842105263,333.70575,3.1271815733150004e-15,0.8906906632826569,SR
0.0,2.1052631578947367,333.70875,2.596320738798188e-15,0.8822822527659381,SR
0.0,2.3157894736842106,333.0,2.5990797453562086e-15,0.9988449970855555,SR
0.0,2.526315789473684,333.292125,2.5979425675209187e-15,0.8738738422492195,SR
0.0,2.7368421052631575,333.72575,1.2984524072449228e-15,0.9019018773049484,SR
0.0,2.9473684210526314,333.2895,4.6829933718725824e-15,0.8710710387436467,SR
0.0,3.1578947368421053,333.71975,2.5962779182378516e-15,0.8990990737993755,SR
0.0,3.3684210526315788,333.0,1.2998699596959578e-15,0.9985809964193968,SR
0.0,3.578947368421052,333.300625,1.2992827716758512e-15,0.9586417820431433,SR
0.0,3.789473684210526,333.699875,3.1272092092371415e-15,0.9187186983383859,SR
0.0,4.0,333.0,0.0,0.9463320588772907,SR
0.42105263157894735,0.0,0.0,-1.0,1.0,Q
0.42105263157894735,0.21052631578947367,0.0,-1.0,1.0,Q
0.42105263157894735,0.42105263157894735,0.0,-1.0,1.0,Q
0.42105263157894735,0.631578947368421,0.0,-1.0,1.0,Q
0.42105263157894735,0.8421052631578947,318.3745,0.011440421160889435,0.875430493087933,SR
0.42105263157894735,1.0526315789473684,333.308625,2.5978783366804144e-15,0.9305772770009907,SR
0.42105263157894735,1.263157894736842,333.0,2.5990797453562086e-15,0.9986139965026662,SR
0.42105263157894735,1.4736842105263157,333.708625,0.0,0.880445059917745,SR
0.42105263157894735,1.6842105263157894,333.303875,1.2992764236972553e-15,0.9231918809372661,SR
0.42105263157894735,1.894736842105263,333.727875,2.5962462894148764e-15,0.8934934667882297,SR
0.42105263157894735,2.1052631578947367,333.695,2.5963742644986083e-15,0.859859824721355,SR
0.42105263157894735,2.3157894736842106,333.0,0.0,0.930231676540478,SR
0.42105263157894735,2.526315789473684,333.286625,0.0,0.8542012925826158,SR
0.42105263157894735,2.7368421052631575,333.714375,1.298474625170008e-15,0.8654654317325009,SR
0.42105263157894735,2.9473684210526314,333.292125,1.2992993740814093e-15,0.8402402001823447,SR
0.42105263157894735,3.1578947368421053,333.719625,2.596278404835128e-15,0.8738738422492193,SR
0.42105263157894735,3.3684210526315788,333.0,1.2998699596959578e-15,0.9984819961695871,SR
0.42105263157894735,3.578947368421052,333.32875,3.1289549763187624e-15,0.9423939107029495,SR
0.42105263157894735,3.789473684210526,333.6935,3.127239197152656e-15,0.8710710387436467,SR
0.42105263157894735,4.0,333.0,0.0,0.9342567721246807,SR
0.8421052631578947,0.0,0.0,-1.0,1.0,Q
0.8421052631578947,0.21052631578947367,0.0,-1.0,1.0,Q
0.8421052631578947,0.42105263157894735,0.0,-1.0,1.0,Q
0.8421052631578947,0.631578947368421,0.0,-1.0,1.0,Q
0.8421052631578947,0.8421052631578947,317.3195,0.010799012192639207,0.870139383940129,SR
0.8421052631578947,1.0526315789473684,333.26925,3.129234863530231e-15,0.8850850562715111,SR
0.8421052631578947,1.263157894736842,333.0,0.0,0.9463320588772907,SR
0.8421052631578947,1.4736842105263157,333.0,1.2998699596959578e-15,0.9986139965026665,SR
0.8421052631578947,1.6842105263157894,333.345625,3.1288755965424006e-15,0.9202377225117764,SR
0.8421052631578947,1.894736842105263,333.684,0.0,0.8687811633243543,SR
0.8421052631578947,2.1052631578947367,333.702375,0.0,0.8425373959892251,SR
0.8421052631578947,2.3157894736842106,333.329625,4.682711179391326e-15,0.9320543562137356,SR
0.8421052631578947,2.526315789473684,333.293875,0.0,0.8600332408793112,SR
0.8421052631578947,2.7368421052631575,333.709375,3.1271645213630417e-15,0.9047046808105214,SR
0.8421052631578947,2.9473684210526314,333.295375,3.1291119718764565e-15,0.8766766457547923,SR
0.8421052631578947,3.1578947368421053,333.713875,2.5963007883098496e-15,0.9019018773049485,SR
0.8421052631578947,3.3684210526315788,333.0,3.130501411961963e-15,0.9986469965859365,SR
0.8421052631578947,3.578947368421052,333.331,3.128944392348581e-15,0.9335314354264803,SR
0.8421052631578947,3.789473684210526,333.68425,3.1272827090300692e-15,0.8906906632826568,SR
0.8421052631578947,4.0,333.681875,4.680233863465531e-15,0.9202377225117764,SR
1.263157894736842,0.0,0.0,-1.0,1.0,Q
1.263157894736842,0.21052631578947367,0.0,-1.0,1.0,Q
1.263157894736842,0.42105263157894735,0.0,-1.0,1.0,Q
1.263157894736842,0.631578947368421,0.0,-1.0,1.0,Q
1.263157894736842,0.8421052631578947,316.2405,0.012646548320125853,0.9900443573929101,SR
1.263157894736842,1.0526315789473684,333.259125,1.5655478565857385e-05,0.8486486106990634,SR
1.263157894736842,1.263157894736842,333.6645,3.12737561276833e-15,0.9423939107029495,SR
1.263157894736842,1.4736842105263157,333.0,2.5990797453562086e-15,0.9987129967524759,SR
1.263157894736842,1.6842105263157894,333.35575,4.682527446592003e-15,0.8514514142046363,SR
